0.364;0.37;0.378;0.25;0.345;0.385;0.246;0.257;0.318;0.188;0.26;0.31;0.438;0.206;0.32;0.273;1.0;0.363;0.268;0.288;0.212;0.334;0.36;0.325;0.355;0.337;0.383;0.359;0.27;0.306
0.356;0.254;0.368;0.234;0.294;0.391;0.241;0.302;0.332;0.28;0.291;0.395;0.25;0.241;0.338;0.195;0.363;1.0;0.263;0.271;0.258;0.283;0.325;0.316;0.33;0.351;0.364;0.366;0.222;0.203
0.424;0.375;0.391;0.399;0.334;0.451;0.354;0.361;0.349;0.356;0.346;0.364;0.296;0.301;0.447;0.375;0.268;0.263;1.0;0.532;0.308;0.446;0.51;0.427;0.463;0.436;0.574;0.486;0.36;0.414
0.453;0.298;0.375;0.384;0.264;0.485;0.378;0.256;0.336;0.37;0.394;0.428;0.269;0.363;0.38;0.355;0.288;0.271;0.532;1.0;0.319;0.49;0.624;0.432;0.468;0.412;0.472;0.409;0.298;0.442
0.347;0.31;0.339;0.324;0.299;0.373;0.273;0.334;0.275;0.298;0.274;0.201;0.216;0.252;0.283;0.182;0.212;0.258;0.308;0.319;1.0;0.28;0.341;0.276;0.373;0.361;0.367;0.365;0.254;0.27
0.41;0.269;0.343;0.282;0.371;0.455;0.346;0.232;0.324;0.301;0.282;0.348;0.315;0.358;0.424;0.34;0.334;0.283;0.446;0.49;0.28;1.0;0.468;0.474;0.469;0.449;0.46;0.424;0.288;0.379
0.459;0.324;0.456;0.462;0.355;0.509;0.411;0.327;0.395;0.399;0.402;0.388;0.359;0.344;0.394;0.347;0.36;0.325;0.51;0.624;0.341;0.468;1.0;0.499;0.459;0.426;0.485;0.437;0.32;0.457
0.364;0.316;0.375;0.349;0.298;0.396;0.323;0.336;0.295;0.365;0.34;0.363;0.276;0.346;0.396;0.347;0.325;0.316;0.427;0.432;0.276;0.474;0.499;1.0;0.405;0.393;0.399;0.423;0.258;0.359
0.519;0.387;0.521;0.455;0.497;0.575;0.442;0.331;0.453;0.372;0.43;0.486;0.437;0.326;0.515;0.377;0.355;0.33;0.463;0.468;0.373;0.469;0.459;0.405;1.0;0.754;0.787;0.804;0.476;0.616
0.47;0.358;0.424;0.404;0.46;0.518;0.408;0.358;0.448;0.336;0.493;0.462;0.364;0.361;0.437;0.35;0.337;0.351;0.436;0.412;0.361;0.449;0.426;0.393;0.754;1.0;0.725;0.726;0.46;0.472
0.498;0.401;0.47;0.427;0.463;0.545;0.477;0.336;0.434;0.371;0.439;0.51;0.381;0.317;0.481;0.395;0.383;0.364;0.574;0.472;0.367;0.46;0.485;0.399;0.787;0.725;1.0;0.76;0.492;0.522
0.509;0.373;0.517;0.431;0.466;0.566;0.42;0.347;0.453;0.348;0.405;0.45;0.423;0.321;0.481;0.331;0.359;0.366;0.486;0.409;0.365;0.424;0.437;0.423;0.804;0.726;0.76;1.0;0.456;0.537
0.444;0.405;0.34;0.296;0.292;0.435;0.343;0.166;0.303;0.3;0.285;0.328;0.283;0.192;0.161;0.22;0.27;0.222;0.36;0.298;0.254;0.288;0.32;0.258;0.476;0.46;0.492;0.456;1.0;0.366
